Enum	Vihkon elinympäristö	1.taso	2. taso	3. taso	Swedish	English
MY.habitatEnumValue70	Hylätty pelto			Hylätty pelto	Övergiven åker	Abandoned field
				Kasvihuone		
MY.habitatEnumValue71	Puistot, pihamaat, puutarhat		Puisto, pihamaa tai puutarha		Park, gårdsplan, trädgård	Park, courtyard or garden
MY.habitatEnumValue72	Puisto			Puisto	Park	Park
				Pihaketo tai pihaniitty		
MY.habitatEnumValue76	Puutarha			Puutarha	Trädgård	Garden
MY.habitatEnumValue77	Avoin nurmialue			Avoin nurmialue	Öppen grässmark	Open grass
				Pensaikko		
				Kartanopuisto		
				Hautausmaa		
			Rakennus tai rakenne			
MY.habitatEnumValue80	Tienvieri (piennar, luiska) ja -pohja		Tienvarsi		Vägkant (ren, ramp)	Roadsides (verges, banks, on the road etc.)
			Ruderaatti tai joutomaa			
			Ratavarsi tai ratapiha			
			Satama			
			Maankaatopaikka			
			Täyttömaa-alue			
			Lentokenttä			
			Voimalinja			
			Laskettelurinne			
			Ampuma-alue tai armeijan harjoitusalue			
			Urheilukenttä tai ravirata			
MY.habitatEnumValue83	Hiekka- tai sorakuoppa		Hiekka- tai sorakuoppa		Sand- och grusgrop	Sand and gravel pit
MY.habitatEnumValue84	Turpeennostoalue		Turpeennostoalue		Torvproduktionsområde	Peat production area
MY.habitatEnumValue85	Louhos- tai kaivosalue		Louhos- tai kaivosalue		Stenbrott- och gruvområde	Quarry and mine area
			Läjitysalue tai kaatopaikka			
